X,Y
-7.850000000000000000e+01,-9.750000000000000000e+00
-7.825000000000000000e+01,-9.750000000000000000e+00
-7.850000000000000000e+01,-9.500000000000000000e+00
-7.825000000000000000e+01,-9.500000000000000000e+00
-7.850000000000000000e+01,-9.250000000000000000e+00
-7.825000000000000000e+01,-9.250000000000000000e+00
